,Shapiro_val,Shapiro_p,Skewness,Kurtosis,AIC,BIC,SMSE,MSLL,marker
cuneus_lh_beta_knee_periodic,0.9989877807609366,0.846207880243564,0.0026587046703821,-0.0795835823229933,[2646.2378344],[2844.19371027],0.9298868684423268,-0.0344148904904809,cuneus_lh_beta_knee_periodic
cuneus_rh_beta_knee_periodic,0.995885190213387,0.0071080057239181,-0.0765059607619675,0.0847612413002276,[2653.02754006],[2850.86812706],0.9319116109496184,-0.0116601096846316,cuneus_rh_beta_knee_periodic
entorhinal_lh_beta_knee_periodic,0.9978009574029082,0.1817503460543384,-0.0443633729633385,0.082525241770571,[2766.39281333],[2964.42540383],0.9516696408547798,-0.0612753733290697,entorhinal_lh_beta_knee_periodic
entorhinal_rh_beta_knee_periodic,0.9984408239798376,0.4743568474202647,-0.021820279304277,0.1083119612988361,[2779.17997914],[2977.36544423],0.9571901974649124,-0.0330483731701855,entorhinal_rh_beta_knee_periodic
frontalpole_lh_beta_knee_periodic,0.9990540662521054,0.9123268473375832,-0.006934330757565,0.0715413968374596,[2562.37166748],[2757.29823463],0.934394494456269,-0.0872045432754159,frontalpole_lh_beta_knee_periodic
frontalpole_rh_beta_knee_periodic,0.9968730283788834,0.0368281702483127,-0.0358120488621538,0.195248160003457,[2743.0950659],[2941.24246758],0.9408781599698208,-0.0713583402880624,frontalpole_rh_beta_knee_periodic
fusiform_lh_beta_knee_periodic,0.9952366521111922,0.0023058115195038,-0.0732585231522482,0.1843409151638164,[2796.08887709],[2994.23623485],0.9729345514761312,-0.0282072400443039,fusiform_lh_beta_knee_periodic
fusiform_rh_beta_knee_periodic,0.998984150319714,0.8430729850146261,0.0321492523857895,0.028240126395715,[2684.81789807],[2882.85056472],0.9586543148160762,-0.0789944320467048,fusiform_rh_beta_knee_periodic
inferiorparietal_lh_beta_knee_periodic,0.9982558715312468,0.3692817574791671,-0.0573894863909259,0.0650036279468095,[2790.14605465],[2988.17857869],0.9952318031032118,0.0918145889595458,inferiorparietal_lh_beta_knee_periodic
inferiorparietal_rh_beta_knee_periodic,0.9952580432487576,0.0024388633170311,-0.1022146831783706,0.2604693905132866,[2702.7395859],[2900.77215752],0.9821075337993282,0.0551811698811673,inferiorparietal_rh_beta_knee_periodic
inferiortemporal_lh_beta_knee_periodic,0.9973028360986466,0.0772092005105385,-0.0018417618864095,0.2305385169530929,[2768.18916427],[2966.37468327],0.9596263698314044,-0.0702009841162302,inferiortemporal_lh_beta_knee_periodic
