marker,mean,std,source
cuneus_lh_theta_periodic,0.0629962934,0.0982745072,regression exacte (residu < 1e-14)
cuneus_rh_all_connectivity,0.3457342633,0.0062820595,regression exacte (residu < 1e-14)
cuneus_rh_all_entropy,0.7799561795,0.0170136103,regression exacte (residu < 1e-14)
cuneus_rh_all_periodic,0.0712129552,0.0295147304,regression exacte (residu < 1e-14)
cuneus_rh_alpha_connectivity,0.3596516477,0.0177650316,regression exacte (residu < 1e-14)
cuneus_rh_alpha_entropy,0.5737516817,0.0029421219,regression exacte (residu < 1e-14)
cuneus_rh_alpha_periodic,0.1944612736,0.1894632516,regression exacte (residu < 1e-14)
cuneus_rh_beta_connectivity,0.3456580231,0.0057105898,regression exacte (residu < 1e-14)
cuneus_rh_beta_entropy,0.7150062,0.006642367,regression exacte (residu < 1e-14)
cuneus_rh_beta_periodic,0.03873674,0.0456165179,regression exacte (residu < 1e-14)
cuneus_rh_delta_connectivity,0.3294709215,0.0222670529,regression exacte (residu < 1e-14)
cuneus_rh_delta_entropy,0.4591982275,0.0011142522,regression exacte (residu < 1e-14)
cuneus_rh_delta_periodic,0.0941232651,0.1109405658,regression exacte (residu < 1e-14)
cuneus_rh_exponent,1.0661696131,0.2963707442,regression exacte (residu < 1e-14)
cuneus_rh_gamma_connectivity,0.3471785912,0.0075660245,regression exacte (residu < 1e-14)
cuneus_rh_gamma_entropy,0.8473059865,0.0016137475,regression exacte (residu < 1e-14)
cuneus_rh_gamma_periodic,0.0703341995,0.0566940045,regression exacte (residu < 1e-14)
cuneus_rh_theta_connectivity,0.3303228593,0.0109822231,regression exacte (residu < 1e-14)
cuneus_rh_theta_entropy,0.5161070414,0.0022502818,regression exacte (residu < 1e-14)
cuneus_rh_theta_periodic,0.0611919044,0.0966301257,regression exacte (residu < 1e-14)
entorhinal_lh_all_connectivity,0.3471870703,0.0071294872,regression exacte (residu < 1e-14)
entorhinal_lh_all_entropy,0.7918001273,0.0104374529,regression exacte (residu < 1e-14)
entorhinal_lh_all_periodic,0.0721071586,0.031247773,regression exacte (residu < 1e-14)
entorhinal_lh_alpha_connectivity,0.3571605157,0.0153260391,regression exacte (residu < 1e-14)
entorhinal_lh_alpha_entropy,0.5735002252,0.0022545842,regression exacte (residu < 1e-14)
entorhinal_lh_alpha_periodic,0.0596011528,0.1335930978,regression exacte (residu < 1e-14)
entorhinal_lh_beta_connectivity,0.3477001722,0.0072049293,regression exacte (residu < 1e-14)
entorhinal_lh_beta_entropy,0.72142411,0.0048402568,regression exacte (residu < 1e-14)
entorhinal_lh_beta_periodic,0.0284266162,0.0391608598,regression exacte (residu < 1e-14)
entorhinal_lh_delta_connectivity,0.3308199772,0.023672975,regression exacte (residu < 1e-14)
entorhinal_lh_delta_entropy,0.4589388916,0.0010912164,regression exacte (residu < 1e-14)
entorhinal_lh_delta_periodic,0.2259285167,0.1591296846,regression exacte (residu < 1e-14)
entorhinal_lh_exponent,0.8957357758,0.2788771553,regression exacte (residu < 1e-14)
entorhinal_lh_gamma_connectivity,0.3490105379,0.0083499913,regression exacte (residu < 1e-14)
entorhinal_lh_gamma_entropy,0.8478495653,0.0015039079,regression exacte (residu < 1e-14)
entorhinal_lh_gamma_periodic,0.1006853765,0.0646703311,regression exacte (residu < 1e-14)
entorhinal_lh_theta_connectivity,0.3319251654,0.0117085045,regression exacte (residu < 1e-14)
entorhinal_lh_theta_entropy,0.5153021999,0.0019802143,regression exacte (residu < 1e-14)
entorhinal_lh_theta_periodic,0.0776406288,0.1180643393,regression exacte (residu < 1e-14)
entorhinal_rh_all_connectivity,0.3470604633,0.0070832255,regression exacte (residu < 1e-14)
entorhinal_rh_all_entropy,0.7910533548,0.0106963604,regression exacte (residu < 1e-14)
entorhinal_rh_all_periodic,0.0727489398,0.0313662503,regression exacte (residu < 1e-14)
entorhinal_rh_alpha_connectivity,0.3567647879,0.0154987199,regression exacte (residu < 1e-14)
entorhinal_rh_alpha_entropy,0.573524057,0.0022933113,regression exacte (residu < 1e-14)
entorhinal_rh_alpha_periodic,0.0648208941,0.1377726548,regression exacte (residu < 1e-14)
entorhinal_rh_beta_connectivity,0.3474896628,0.0069054969,regression exacte (residu < 1e-14)
entorhinal_rh_beta_entropy,0.7209975301,0.0049930768,regression exacte (residu < 1e-14)
entorhinal_rh_beta_periodic,0.0298658311,0.0396175344,regression exacte (residu < 1e-14)
entorhinal_rh_delta_connectivity,0.3306558533,0.0234593593,regression exacte (residu < 1e-14)
entorhinal_rh_delta_entropy,0.4589424612,0.0010573737,regression exacte (residu < 1e-14)
entorhinal_rh_delta_periodic,0.2180956681,0.1580989398,regression exacte (residu < 1e-14)
entorhinal_rh_exponent,0.9051805662,0.2782134725,regression exacte (residu < 1e-14)
entorhinal_rh_gamma_connectivity,0.3491699033,0.008579227,regression exacte (residu < 1e-14)
entorhinal_rh_gamma_entropy,0.8477924795,0.0015162048,regression exacte (residu < 1e-14)
entorhinal_rh_gamma_periodic,0.0988423505,0.063735359,regression exacte (residu < 1e-14)
entorhinal_rh_theta_connectivity,0.3316298207,0.0116737565,regression exacte (residu < 1e-14)
entorhinal_rh_theta_entropy,0.5154057238,0.0019844745,regression exacte (residu < 1e-14)
entorhinal_rh_theta_periodic,0.0822320299,0.123396263,regression exacte (residu < 1e-14)
entropy_all_mean,0.7866541646,0.0105175339,"moyenne des 68 ROI, verifiee (residu 6e-16)"
frontalpole_lh_all_connectivity,0.3460933164,0.0063986149,regression exacte (residu < 1e-14)
frontalpole_lh_all_entropy,0.7935712916,0.0099820651,regression exacte (residu < 1e-14)
frontalpole_lh_all_periodic,0.0824163541,0.0347878024,regression exacte (residu < 1e-14)
frontalpole_lh_alpha_connectivity,0.3540398167,0.0139495946,regression exacte (residu < 1e-14)
frontalpole_lh_alpha_entropy,0.5735231084,0.0019681331,regression exacte (residu < 1e-14)
frontalpole_lh_alpha_periodic,-0.0052279959,0.1219498576,regression exacte (residu < 1e-14)
frontalpole_lh_beta_connectivity,0.3462647786,0.0060365595,regression exacte (residu < 1e-14)
frontalpole_lh_beta_entropy,0.7234167562,0.005520631,regression exacte (residu < 1e-14)
frontalpole_lh_beta_periodic,0.0546536401,0.0511291781,regression exacte (residu < 1e-14)
frontalpole_lh_delta_connectivity,0.3324278531,0.0239113249,regression exacte (residu < 1e-14)
frontalpole_lh_delta_entropy,0.4586529417,0.0010472716,regression exacte (residu < 1e-14)
frontalpole_lh_delta_periodic,0.28533288,0.1725512756,regression exacte (residu < 1e-14)
frontalpole_lh_exponent,0.7364347855,0.3467559414,regression exacte (residu < 1e-14)
frontalpole_lh_gamma_connectivity,0.3484492724,0.0081092702,regression exacte (residu < 1e-14)
frontalpole_lh_gamma_entropy,0.8475458485,0.0018491741,regression exacte (residu < 1e-14)
frontalpole_lh_gamma_periodic,0.1101060218,0.0580107588,regression exacte (residu < 1e-14)
frontalpole_lh_theta_connectivity,0.3317546143,0.0121733902,regression exacte (residu < 1e-14)
frontalpole_lh_theta_entropy,0.5152075513,0.0018477715,regression exacte (residu < 1e-14)
frontalpole_lh_theta_periodic,0.0762498088,0.1243331699,regression exacte (residu < 1e-14)
